City,Latitude,Longitude,Timezone,Timezone Offset,Date,Time,Temperature (°C),Humidity (%),Precipitation (mm),Snow (mm),Pressure (hPa)
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,00:00:00,-0.200000,88.960000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,01:00:00,-0.700000,91.540000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,02:00:00,-0.600000,92.270000,0.000000,0.000000,1009.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,03:00:00,-0.100000,95.640000,0.000000,0.000000,1009.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,04:00:00,1.900000,91.770000,0.000000,0.000000,1009.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,05:00:00,1.600000,93.730000,0.000000,0.000000,1009.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,06:00:00,1.700000,93.710000,0.000000,0.000000,1009.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,07:00:00,0.600000,95.020000,0.000000,0.000000,1008.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,08:00:00,-1.200000,96.290000,0.000000,0.000000,1007.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,09:00:00,-0.600000,95.530000,0.000000,0.000000,1007.500000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,10:00:00,2.400000,77.710000,0.000000,0.000000,1006.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,11:00:00,5.300000,63.450000,0.000000,0.000000,1006.400000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,12:00:00,7.100000,57.280000,0.000000,0.000000,1005.400000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,13:00:00,9.800000,50.310000,0.000000,0.000000,1004.400000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,14:00:00,10.600000,52.620000,0.000000,0.000000,1004.400000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,15:00:00,9.800000,58.620000,0.000000,0.000000,1004.400000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,16:00:00,9.300000,61.910000,0.000000,0.000000,1005.100000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,17:00:00,7.500000,68.030000,0.000000,0.000000,1006.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,18:00:00,6.900000,69.470000,0.000000,0.000000,1008.100000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,19:00:00,4.900000,75.170000,0.000000,0.000000,1008.800000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,20:00:00,3.200000,84.550000,0.000000,0.000000,1009.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,21:00:00,2.400000,89.490000,0.000000,0.000000,1010.200000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,22:00:00,1.200000,91.700000,0.000000,0.000000,1012.000000
Mount Pleasant,43.606160,-84.783060,America/Detroit,-5.000000,2023-11-30,23:00:00,0.000000,92.300000,0.000000,0.000000,1013.000000
